route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1289,102,126,39
100,1368,130,148,53
101,1381,130,150,34
11,1326,121,122,27
12,1290,128,182,72
2,686,39,56,19
400,789,47,108,20
7,1353,91,213,69
8A,2679,198,247,73
8B,2625,175,291,112
