route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1173,78,43,17
100,988,67,95,24
101,1015,84,76,20
11,1111,99,65,12
12,1440,153,222,53
2,978,52,61,16
400,557,40,34,10
7,1220,57,127,23
8A,2173,186,241,58
8B,2105,160,178,64
