route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1337,84,133,21
100,1234,90,109,39
101,1370,87,111,39
11,1360,63,122,34
12,1516,173,277,53
2,894,28,70,19
400,818,81,139,40
7,1575,101,272,56
8A,2608,158,384,73
8B,2616,163,352,63
