route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,751,46,51,13
100,734,50,62,11
101,775,66,73,12
11,719,74,88,15
12,932,116,148,35
2,540,42,30,10
400,459,23,27,2
7,805,36,130,14
8A,1676,158,203,39
8B,1602,119,182,42
