route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1542,149,137,43
100,1393,112,124,29
101,1524,93,141,32
11,1467,121,139,32
12,1585,180,347,57
2,1000,51,86,14
400,988,48,123,25
7,1573,141,319,65
8A,3057,211,387,77
8B,2968,193,321,68
