route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1322,92,95,28
100,1349,114,138,34
101,1439,145,135,24
11,1250,91,92,22
12,1492,153,263,61
2,881,50,90,29
400,721,38,87,18
7,1466,101,215,47
8A,2798,209,278,68
8B,2735,229,266,64
