route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1752,137,164,51
100,1814,117,187,40
101,1915,138,190,53
11,1737,122,149,39
12,1745,239,238,64
2,956,41,70,20
400,1209,88,164,31
7,1787,124,278,60
8A,3519,298,337,74
8B,3321,220,304,65
