route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1268,130,117,24
100,1392,124,110,41
101,1418,119,134,39
11,1218,103,112,46
12,1037,106,205,62
2,614,24,71,13
400,801,33,101,24
7,1178,105,203,45
8A,2440,172,198,42
8B,2406,142,213,49
