route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1239,115,101,34
100,1289,142,173,54
101,1370,126,147,48
11,1197,93,106,30
12,1220,106,235,64
2,750,28,97,18
400,846,54,47,17
7,1305,90,165,47
8A,2664,183,295,69
8B,2618,168,277,64
