route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1388,111,105,25
100,1236,102,87,35
101,1314,120,86,33
11,1326,108,90,23
12,1453,210,182,49
2,920,59,53,15
400,718,41,41,16
7,1395,106,86,38
8A,2711,218,195,48
8B,2607,188,255,54
