route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1389,113,117,24
100,1388,108,159,41
101,1497,107,154,37
11,1368,95,125,35
12,1118,106,223,60
2,657,30,105,20
400,833,36,67,18
7,1322,89,175,52
8A,2653,169,272,81
8B,2682,149,252,67
