route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1342,80,73,26
100,1281,78,110,29
101,1388,83,106,29
11,1284,92,65,29
12,1556,198,230,56
2,964,50,66,11
400,829,40,71,23
7,1457,102,160,48
8A,2809,192,245,66
8B,2689,215,231,52
