route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1410,110,110,37
100,1384,113,145,56
101,1478,113,99,27
11,1410,108,93,28
12,1635,205,309,84
2,943,63,105,22
400,747,35,68,22
7,1424,71,232,53
8A,2730,192,233,51
8B,2628,182,340,83
