route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1327,103,121,27
100,1159,94,113,31
101,1264,83,134,25
11,1258,125,141,21
12,1653,175,267,65
2,972,32,85,13
400,691,21,80,13
7,1407,82,177,52
8A,2715,239,294,78
8B,2607,177,281,80
