route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1311,118,123,46
100,1409,101,117,38
101,1456,95,131,47
11,1211,125,165,32
12,1123,109,201,68
2,698,42,75,9
400,767,21,78,27
7,1236,81,173,55
8A,2630,195,238,75
8B,2601,169,242,74
