route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,912,76,56,16
100,911,84,132,33
101,951,87,117,26
11,864,54,48,6
12,1031,101,128,30
2,576,31,25,6
400,32,0,1,0
7,1042,64,95,12
8A,1751,133,145,31
8B,1662,158,139,37
