route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1550,116,169,29
100,1351,94,200,30
101,1467,94,176,28
11,1496,107,191,42
12,1671,216,276,49
2,1069,54,87,21
400,1064,37,139,25
7,1720,141,305,77
8A,3217,207,443,80
8B,3110,211,383,65
