route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1524,121,156,34
100,1417,82,127,28
101,1581,104,139,44
11,1537,116,165,43
12,1781,186,288,75
2,995,53,124,28
400,956,45,118,14
7,1736,128,315,65
8A,3052,286,434,80
8B,3100,280,454,69
