route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1414,137,150,58
100,1375,100,121,29
101,1509,119,111,28
11,1452,106,112,37
12,1510,203,217,47
2,920,42,71,10
400,872,58,121,26
7,1441,93,227,46
8A,2980,216,362,82
8B,2840,171,341,78
