user_trip_id,start_time,end_time,start_longitude,start_latitude,end_longitude,end_latitude,distance,progression,users_helped,service_name,route_short_name,mode,start_stop_name,end_stop_name
1b44bb28-f081-47d6-8afd-fbe25ba5728f,2025-01-15 21:21:29 UTC,2025-01-15 20:57:01 UTC,-79.721658,44.323793,-79.720310147907242,44.322038005574584,0,1,,Walk,,Walk,,
50f83f50-b80a-4e2f-954e-c694a5911db6,2025-01-15 21:53:43 UTC,2025-01-15 22:37:07 UTC,-79.687174,44.334991,-79.691023,44.387709,15797.44473932996,0,12,Barrie Transit,7,Transit,Barrie View Drive,Downtown Barrie Terminal
50f83f50-b80a-4e2f-954e-c694a5911db6,2025-01-15 22:01:21 UTC,2025-01-15 21:49:05 UTC,-79.686172,44.332776,-79.687163,44.334966,0,1,,Walk,,Walk,,
50f83f50-b80a-4e2f-954e-c694a5911db6,2025-01-15 22:36:54 UTC,2025-01-15 22:36:54 UTC,-79.691023,44.387709,-79.691608643150886,44.387574901746113,0,0,,Walk,,Walk,,
7fa3fed3-c391-4273-8ec3-572b73583ca0,2025-01-15 22:02:37 UTC,2025-01-15 22:07:00 UTC,-79.686171299288688,44.332772342036186,-79.688687,44.334571,323.94766435417671,0.059842221991823229,,Walk,,Walk,,
7fa3fed3-c391-4273-8ec3-572b73583ca0,2025-01-15 22:07:00 UTC,2025-01-15 22:15:00 UTC,-79.688685,44.334568,-79.723543,44.322697,3437.1893063816542,0,0,Barrie Transit,8A,Transit,Barrie View Drive,Rundle Crescent
7fa3fed3-c391-4273-8ec3-572b73583ca0,2025-01-15 22:15:00 UTC,2025-01-15 22:15:15 UTC,-79.723532,44.322664,-79.724041051373547,44.322896752235025,13.81397706205791,0,,Walk,,Walk,,
a21521f4-30ef-457a-9acf-21d696b082ea,2025-01-15 21:03:24 UTC,2025-01-15 21:10:43 UTC,-79.720287,44.32207600000001,-79.687966,44.334496,3207.589256928688,1,0,Barrie Transit,8B,Transit,Athabaska / Essa,Barrie View Drive
a21521f4-30ef-457a-9acf-21d696b082ea,2025-01-15 21:12:09 UTC,2025-01-15 21:12:13 UTC,-79.687979,44.334527,-79.686172,44.332776,0,1,,Walk,,Walk,,
a21521f4-30ef-457a-9acf-21d696b082ea,2025-01-15 21:21:29 UTC,2025-01-15 20:57:01 UTC,-79.721658,44.323793,-79.720310147907242,44.322038005574584,0,1,,Walk,,Walk,,
b2f5b08c-6a7e-486c-b880-6226f6ca53e7,2025-01-15 22:02:37 UTC,2025-01-15 22:07:00 UTC,-79.686171299288688,44.332772342036186,-79.688687,44.334571,323.94766435417671,0.059842221991823229,,Walk,,Walk,,
b2f5b08c-6a7e-486c-b880-6226f6ca53e7,2025-01-15 22:07:00 UTC,2025-01-15 22:15:00 UTC,-79.688685,44.334568,-79.723543,44.322697,3437.1893063816542,0,0,Barrie Transit,8A,Transit,Barrie View Drive,Rundle Crescent
b2f5b08c-6a7e-486c-b880-6226f6ca53e7,2025-01-15 22:15:00 UTC,2025-01-15 22:15:15 UTC,-79.723532,44.322664,-79.724041051373547,44.322896752235025,13.81397706205791,0,,Walk,,Walk,,
1bd07383-c190-4df8-a364-03622972df66,2025-01-15 23:11:46 UTC,2025-01-15 23:05:20 UTC,-79.669490514778346,44.370508715401613,-79.6697,44.370307,0,1,,Walk,,Walk,,
1bd07383-c190-4df8-a364-03622972df66,2025-01-15 23:13:54 UTC,2025-01-16 00:31:29 UTC,-79.6697,44.370307,-79.680276,44.340279,40155.209690077172,1,20,Barrie Transit,8B,Transit,Yonge / Huronia,Park Place
34fe7351-922f-4b31-aaf8-0b962b2c539f,2025-01-15 23:11:09 UTC,2025-01-15 23:02:58 UTC,-79.669490514778346,44.370508715401613,-79.669724,44.370252,0,1,,Walk,,Walk,,
34fe7351-922f-4b31-aaf8-0b962b2c539f,2025-01-15 23:13:45 UTC,2025-01-15 23:23:45 UTC,-79.6697,44.370307,-79.691023,44.387709,3922.7000992555172,0,0,Barrie Transit,8B,Transit,Yonge / Huronia,Downtown Barrie Terminal
