route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1451,112,141,38
100,1534,117,99,29
101,1576,134,153,47
11,1424,95,193,51
12,1403,148,215,90
2,744,32,71,23
400,844,28,59,21
7,1489,113,273,72
8A,2921,272,280,74
8B,2850,244,250,73
