route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1376,120,91,22
100,1561,130,157,25
101,1576,123,152,38
11,1309,73,120,40
12,1378,115,195,52
2,853,44,84,16
400,852,31,58,18
7,1384,108,126,50
8A,2909,230,276,67
8B,3009,239,295,72
