route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1255,83,93,19
100,1267,78,142,58
101,1356,96,130,40
11,1153,88,85,23
12,1549,181,231,51
2,991,56,75,21
400,777,32,70,15
7,1410,131,202,62
8A,2696,164,240,56
8B,2672,193,233,42
