route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1167,110,124,31
100,1352,128,186,49
101,1387,140,160,47
11,1126,89,133,43
12,1162,132,215,49
2,603,25,76,17
400,783,35,77,24
7,1137,93,140,38
8A,2382,188,293,57
8B,2393,145,230,65
