route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1448,114,123,33
100,1333,129,159,43
101,1488,90,145,29
11,1442,148,188,80
12,1490,150,243,49
2,778,28,67,7
400,886,51,132,29
7,1482,126,282,92
8A,2783,193,367,69
8B,2680,172,330,83
