route_short_name,nearby_views,nearby_taps,tapped_routing_suggestions,go_trips
10,1759,170,151,58
100,1484,84,155,39
101,1589,85,189,38
11,1701,144,125,32
12,1632,182,207,61
2,1155,64,61,19
400,1039,64,112,37
7,1790,164,320,79
8A,3268,251,367,79
8B,3092,207,340,77
