stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding
210,YORKDALE,43.7249469850213,-79.4488069787622,0
147,COLDWATER,44.7078599967063,-79.6430369652808,0
145,PORT SEVERN,44.808120969683,-79.73493992351,0
144,MACTIER,45.1187209412456,-79.7573479358108,0
118,GORDON BAY,45.2107199560851,-79.7921879868955,0
142,HORSESHOE LAKE RD,45.2898249216378,-79.8509619757534,0
141,PARRY SOUND,45.3434559423477,-80.0101269409061,0
139,POINTE AU BARIL,45.5964509490878,-80.374062974006,0
178,BUTLER LAKE,48.3428579661996,-80.2530769910664,0
136,KEY RIVER,45.8945679198951,-80.5663239676506,0
133,ALBAN,46.104269977659,-80.6104989442975,0
129,SUDBURY,46.5049979556352,-80.9381179511548,0
130,LAURENTIAN UNIVERSITY,46.465528998524,-80.9703599475325,0
150,ARDTREA southbound,44.6861869934947,-79.4032219983638,0
151,WASHAGO,44.7503929585219,-79.3335439916701,0
152,KAHSHE LAKE RD,44.8450159281493,-79.316967939958,0
208,GRAVENHURST,44.9173489864916,-79.3722329288722,0
207,BRACEBRIDGE,45.0307069346309,-79.3133369833232,0
153,PORT SYDNEY,45.2183709573001,-79.306007931009,0
206,HUNTSVILLE,45.3235779237003,-79.225696977228,0
154,NOVAR,45.4511179681868,-79.2478349246085,0
156,BURK'S FALLS,45.6236549187452,-79.4101269263775,0
157,SUNDRIDGE,45.7704299222678,-79.392230976373,0
158,SOUTH RIVER,45.8388769626618,-79.3784429971129,0
159,TROUT CREEK,45.9868949186057,-79.3595529533923,0
160,POWASSAN,46.0770339891315,-79.3596529494972,0
205,NORTH BAY,46.3137749768794,-79.4381599500776,0
119,EDUCATION CENTRE MAIN CAMPUS,46.3439199887217,-79.4915099255741,0
138,BYNG INLET,45.7705789525062,-80.4974239692093,0
128,AZILDA,46.5516729187221,-81.1113079357893,0
127,CHELMSFORD,46.5689619351179,-81.200550980866,0
126,DOWLING,46.5862089581788,-81.3346129842103,0
125,LEVACK,46.6250819619745,-81.4537769928575,0
124,CARTIER,46.7007649317384,-81.555913919583,0
123,HALFWAY LAKE RD,46.9083159416914,-81.6322959400714,0
122,WATERSHED,47.471698941663,-81.8469959590585,0
121,GOGAMA,47.6754049211741,-81.7248439695687,0
180,MATHESON,48.5363809391857,-80.4657809436322,0
185,TIMMINS,48.4746269322932,-81.3268059957773,0
192,COCHRANE,49.0602689981461,-81.0233389399946,0
194,SMOOTH ROCK FALLS,49.2802289966494,-81.6333379782737,0
195,STRICKLAND,49.2879799939692,-81.8677109945566,0
196,FAUQUIER,49.3115639872849,-82.033711988479,0
197,MOONBEAM,49.3448229599745,-82.1598779875786,0
