Station ID,Stations,State/Province,Type,Zone,Time zone diff,Latitude,Longitude
457,AGAWA BAY,ON,,1,0,47.331462,-84.613299
133,ALBAN,ON,,1,0,46.104270,-80.610499
221,ALLANDALE GO STATION,ON,,1,0,44.373850,-79.689650
436,ARCHIBALD RD,ON,,1,0,46.317636,-83.865064
236,ARDTREA northbound,ON,,1,0,44.679072,-79.406371
150,ARDTREA southbound,ON,,1,0,44.686187,-79.403222
110,ARNPRIOR,ON,,1,0,45.422733,-76.368779
542,ATIKOKAN,ON,,1,0,48.753629,-91.603901
442,AUNDECK OMNI KANING,ON,,1,0,45.961022,-81.989411
128,AZILDA,ON,,1,0,46.551673,-81.111308
435,BARR RD,ON,,1,0,46.338057,-84.045044
209,BARRIE,ON,,1,0,44.388078,-79.690971
315,BARRIE ALLANDALE TERMINAL,ON,,1,0,44.374099,-79.690194
166,BASS LAKE RD,ON,,1,0,47.380902,-79.731584
420,BATCHAWANA BAY,ON,,1,0,46.926860,-84.423890
465,BEARDMORE,ON,,1,0,49.593060,-87.941020
434,BIG PERCH BAY RD,ON,,1,0,46.288579,-83.704712
134,BIGWOOD,ON,,1,0,46.031680,-80.596522
440,BIRCH ISLAND,ON,,1,0,46.068339,-81.772869
403,BLIND RIVER,ON,,1,0,46.185146,-82.928996
401,BLIND RIVER HOSPITAL,ON,,1,0,46.187426,-82.923583
207,BRACEBRIDGE,ON,,1,0,45.030707,-79.313337
480,BRACEBRIDGE - TRAIN DEPOT,ON,,1,0,45.043102,-79.310202
235,BRACEBRIDGE REST STOP,ON,,1,0,45.043730,-79.322578
433,BRANIFF RD,ON,,1,0,46.287497,-83.683706
137,BRITT,ON,,1,0,45.803096,-80.537630
603,BROWNRIGG,ON,,1,0,49.681497,-81.522305
413,BRUCE MINES,ON,,1,0,46.300420,-83.793570
156,BURK'S FALLS,ON,,1,0,45.623655,-79.410127
178,BUTLER LAKE,ON,,1,0,48.342858,-80.253077
138,BYNG INLET,ON,,1,0,45.770579,-80.497424
124,CARTIER,ON,,1,0,46.700765,-81.555914
313,CASINO RAMA,ON,,1,0,44.647996,-79.349963
105,CHALK RIVER eastbound,ON,,1,0,46.019614,-77.450261
239,CHALK RIVER westbound,ON,,1,0,46.019002,-77.449550
127,CHELMSFORD,ON,,1,0,46.568962,-81.200551
550,CHEO HOSPITAL,ON,,1,0,45.399660,-75.651150
472,CLEARWATER BAY,ON,,1,1,49.715760,-94.795480
600,CLUTE,ON,,1,0,49.188226,-81.010151
167,COBALT,ON,,1,0,47.392927,-79.686912
483,COBALT-TRAIN DEPOT,ON,,1,0,47.396176,-79.684291
108,COBDEN,ON,,1,0,45.628947,-76.879994
192,COCHRANE,ON,,1,0,49.060269,-81.023339
147,COLDWATER,ON,,1,0,44.707860,-79.643037
515,CONFEDERATION COLLEGE,ON,,1,0,48.402959,-89.269660
606,CORAL,ON,,1,0,50.217951,-81.683113
541,COUCHICHING F.N.,ON,,1,0,48.633116,-93.361750
173,DANE,ON,,1,0,48.073012,-80.035009
104,DEEP RIVER,ON,,1,0,46.103038,-77.506242
431,DESBARATS,ON,,1,0,46.345873,-83.922920
427,DEUX RIVIÈRES,ON,,1,0,46.251993,-78.286513
539,DEVLIN,ON,,1,0,48.621178,-93.673294
505,DORION,ON,,1,0,48.832803,-88.525340
126,DOWLING,ON,,1,0,46.586209,-81.334613
193,DRIFTWOOD,ON,,1,0,49.121109,-81.382218
523,DRYDEN,ON,,1,0,49.789325,-92.828141
561,DRYDEN REST STOP,ON,,1,0,49.786833,-92.832167
555,DRYDEN REST STOP OLD,ON,,1,0,49.785646,-92.816890
432,DUMOND RD,ON,,1,0,46.282617,-83.412115
463,EAR FALLS,ON,,1,0,50.636960,-93.230540
171,EARLTON,ON,,1,0,47.711004,-79.823446
225,EAST GWILLIMBURY GO STATION,ON,,1,0,44.078480,-79.456550
414,ECHO BAY,ON,,1,0,46.484450,-84.070210
161,EDU CENTRE LOWER RES,ON,,1,0,46.334234,-79.488205
119,EDUCATION CENTRE MAIN CAMPUS,ON,,1,0,46.343920,-79.491510
232,ELM/PARIS,ON,,1,0,46.492990,-80.990590
538,EMO,ON,,1,0,48.633226,-93.830400
314,EMSDALE,ON,,1,0,45.512179,-79.303403
155,EMSDALE OLD,ON,,1,0,45.528169,-79.320830
172,ENGLEHART,ON,,1,0,47.818775,-79.866415
218,ENGLEHART HOSPITAL,ON,,1,0,47.823478,-79.879238
485,ENGLEHART STATION,ON,,1,0,47.826567,-79.873063
405,ESPANOLA,ON,,1,0,46.261208,-81.769427
473,ESPANOLA REST,ON,,1,0,46.248531,-81.761912
131,ESTAIRE,ON,,1,0,46.314673,-80.799045
446,EVANSVILLE,ON,,1,0,45.821468,-82.554803
470,FALCON LAKE,MB,,1,0,49.685650,-95.326570
196,FAUQUIER,ON,,1,0,49.311564,-82.033712
437,FISHER RD,ON,,1,0,46.315005,-83.853179
540,FORT FRANCES,ON,,1,0,48.610282,-93.386550
545,FORT FRANCES REST STOP,ON,,1,0,48.606920,-93.424256
547,FORT FRANCES.,ON,,1,0,48.613550,-93.404240
604,FRASERDALE,ON,,1,0,49.846906,-81.617969
611,GALETON,ON,,1,0,51.133284,-80.913724
415,GARDEN RIVER,ON,,1,0,46.545590,-84.162900
612,GARDINER,ON,,1,0,49.307536,-81.027914
300,GEORGIAN COLLEGE,ON,,1,0,44.581192,-79.429608
466,GERALDTON,ON,,1,0,49.749840,-86.981000
121,GOGAMA,ON,,1,0,47.675405,-81.724844
118,GORDON BAY,ON,,1,0,45.210720,-79.792188
445,GORE BAY,ON,,1,0,45.896685,-82.454805
477,GORMLEY - TRAIN STATION,ON,,1,0,43.940907,-79.398523
421,GOULAIS RIVER,ON,,1,0,46.733650,-84.349320
208,GRAVENHURST,ON,,1,0,44.917349,-79.372233
479,GRAVENHURST - TRAIN STATION,ON,,1,0,44.920247,-79.370568
234,GRAVENHURST REST STOP,ON,,1,0,44.886630,-79.348850
400,HAGAR,ON,,1,0,46.455260,-80.416000
168,HAILEYBURY,ON,,1,0,47.442052,-79.637523
123,HALFWAY LAKE RD,ON,,1,0,46.908316,-81.632296
200,HARTY,ON,,1,0,49.474717,-82.681657
458,HAWKESBURY,ON,,1,0,45.636760,-74.623390
532,HEALTH SCIENCES CENTRE,MB,,2,0,49.904401,-97.156065
402,HEALTH SCIENCES NORTH,ON,,1,0,46.467178,-80.995902
204,HEARST,ON,,1,0,49.690562,-83.671051
419,HEYDEN,ON,,1,0,46.642360,-84.306850
470,HORNEPAYNE,ON,,1,0,49.212385,-84.768158
142,HORSESHOE LAKE RD,ON,,1,0,45.289825,-79.850962
184,HOYLE,ON,,1,0,48.548913,-81.057798
206,HUNTSVILLE,ON,,1,0,45.323578,-79.225697
481,HUNTSVILLE - TRAIN STATION,ON,,1,0,45.323505,-79.226434
430,HURON SHORES,ON,,1,0,46.274945,-83.435381
182,HWY 101 - MUNICIPAL RD,ON,,1,0,48.545258,-80.890792
472,HWY 11 and 631,ON,,1,0,49.763145,-84.511809
522,HWY 622-17,ON,,1,0,49.506671,-92.056849
116,HWY 67 - HWY 11,ON,,1,0,48.699559,-80.790208
521,IGNACE,ON,,1,0,49.416731,-91.663682
546,IGNACE PARCEL STOP,ON,,1,0,49.412676,-91.643030
411,IRON BRIDGE,ON,,1,0,46.278790,-83.220010
190,IROQUOIS FALLS,ON,,1,0,48.765720,-80.680620
602,ISLAND FALLS,ON,,1,0,49.568887,-81.422790
468,JELLICOE,ON,,1,0,49.684300,-87.532580
444,KAGAWONG,ON,,1,0,45.899832,-82.255868
152,KAHSHE LAKE RD,ON,,1,0,44.845016,-79.316968
544,KAKABEKA FALLS,ON,,1,0,48.401606,-89.615232
474,KANATA,ON,,1,0,45.309762,-75.906202
198,KAPUSKASING,ON,,1,0,49.415685,-82.420641
