shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
fc12d730-8679-48bd-9b5a-a139a03a8154,44.3898269834496,-79.7026946306046,243,17288.15
72ad0ba1-cacf-40fb-adaf-240728a55d34,44.3769929534679,-79.6931506452511,10,417.78
f4356c7f-0d5b-4427-adc3-e75cbb2eafce,44.32269687,-79.72353994,141,11247.34
f4356c7f-0d5b-4427-adc3-e75cbb2eafce,44.3306371065773,-79.7255476777608,159,12878.26
de0ef646-3bdc-49ab-9d4f-910e036942e3,44.3305460783994,-79.6884168146296,168,19421.45
f4356c7f-0d5b-4427-adc3-e75cbb2eafce,44.3791587165771,-79.6902441057492,248,20277.9
b432141f-1e33-4476-83b5-d10122614ac0,44.4073146388622,-79.6852249082215,50,1924.11
acdb3047-7cf5-4a51-96a7-55e1a5e6d54a,44.33385271,-79.72055565,157,16281.26
0f222b01-e747-4b9d-be96-92877cec5877,44.336527844436,-79.6805858136048,12,775.84
94532bfc-b54d-4860-8362-aff2eaa01e71,44.412143167833,-79.6729836857211,134,10211.13
046ee6e1-cbd4-4d4b-9d07-d42905039433,44.4156351337215,-79.6620416439796,43,6115.12
fc12d730-8679-48bd-9b5a-a139a03a8154,44.3885896,-79.71995757,182,14294.49
627eb4ad-5ed6-4a87-9511-c02654004b05,44.3333620159106,-79.6899998503974,23,1657.14
972d7113-fec4-4888-8ea9-5b2b693b8cdd,44.39104266,-79.67958159,21,1446.6
de0ef646-3bdc-49ab-9d4f-910e036942e3,44.3964425859715,-79.6963538048478,25,2469.44
8735d8f7-0e87-4647-bc4b-54b40351ff33,44.38118332,-79.7248207,17,1793.33
03113888-0669-4b4a-b0d8-8d87fa8db294,44.3739265391361,-79.6888652349614,2,72.44
285d1870-9270-462a-a590-956ee6c5a4f8,44.3999276079177,-79.7163513264051,85,10466.3
c6a34644-a507-41ad-85df-6f0e3acda408,44.3874974605597,-79.6900329954886,113,17657.26
c98a43cc-207a-46d4-85ee-08685d7a2d42,44.34041427,-79.71421573,53,8037.28
a5771baa-d2e0-4c44-a091-e0f0ffaab9da,44.3464772838341,-79.6638579613398,300,25551.3
b432141f-1e33-4476-83b5-d10122614ac0,44.3715716133744,-79.6795237187743,194,12858.32
285d1870-9270-462a-a590-956ee6c5a4f8,44.3855821620571,-79.7077460702699,72,8497.6
