route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
8B,9b8ca608-e9d6-4b70-af36-504135a2886c,1e007c72-afc6-4d32-a98e-e1bf2c0e2adb,395a875b-938b-4204-ab83-0fe41742b4a5,Crosstown/Essa to Georgian College ,0,dbc7b606-8ac5-4129-82a6-b69cbdb380aa
101,9b8ca608-e9d6-4b70-af36-504135a2886c,9afb730f-1f81-46bc-b40a-1d16d2159f87,dd2785dd-43f9-48a0-8c0f-ccd8f5985096,Blue,0,199d1182-2201-4f7a-bf69-4c00ad53e51c
101,83f00a42-51d3-48a7-9f79-2e8419a06c9d,886e3d2c-a52b-4f69-b295-98cb2a5e0bbe,dd2785dd-43f9-48a0-8c0f-ccd8f5985096,Blue,0,5e96e28c-cb1b-44e6-af53-b7c760de1395
12A,9b8ca608-e9d6-4b70-af36-504135a2886c,9a88f6f9-8abe-4c99-ab92-7dd960494430,039665b2-b02e-459b-8a6f-56438cb103df,GEORGIAN MALL,0,6725e642-5cc7-4701-9436-7358bf6ec7df
12B,83f00a42-51d3-48a7-9f79-2e8419a06c9d,f9d6df67-a56c-4176-913e-bb2ef09f492e,b224d92c-e2d2-4e15-bb5d-fbd6d2b1c9e4,BARRIE SOUTH GO,0,10b376f5-8106-4915-b2bb-474bfe65b4a9
101,f7362610-9cc6-4990-b05c-5d3dc36f9f00,4fb223b8-7204-433e-aa5e-38952f923257,dd2785dd-43f9-48a0-8c0f-ccd8f5985096,Blue,0,c45c134b-c047-4f57-97d3-cacea39886a1
100,e143ad2f-079a-40bc-9584-bcc38f003c82,646feb82-46fa-4388-8207-cc9a7f34850a,43a593d1-2077-4815-955c-0c23cab3e490,Red Express  to Downtown Barrie Terminal,0,ef272a2a-1f5d-428f-a71e-40cb4fa100cc
2A,e143ad2f-079a-40bc-9584-bcc38f003c82,177a5f0b-3e9e-4fb2-ab50-d5b8a2b31c46,c630cdfc-baba-436b-8b26-4f181272c079,DUNLOP to Downtown Barrie Terminal,0,ffdd7ba1-c9f2-42f4-aa4d-3eb9ea074202
12B,e143ad2f-079a-40bc-9584-bcc38f003c82,97bc708f-b6ee-41e1-883f-03503145c2a7,b224d92c-e2d2-4e15-bb5d-fbd6d2b1c9e4,BARRIE SOUTH GO,0,b877bbdd-e4c1-4457-a96e-ba1ac269682b
12B,f7362610-9cc6-4990-b05c-5d3dc36f9f00,3635757f-70ef-4e34-9753-0ac88cca4c61,b224d92c-e2d2-4e15-bb5d-fbd6d2b1c9e4,BARRIE SOUTH GO,0,d57f1ab0-e849-42c7-96a4-4005befc31e2
400,83f00a42-51d3-48a7-9f79-2e8419a06c9d,7e7833f3-7205-4a95-9ad2-5a72e1c30c48,092fe7c4-580f-464e-a434-62114c9d18be,EXPRESS  to RVH,0,492845f1-a876-4d5a-8127-10ebd3b27eaf
7B,83f00a42-51d3-48a7-9f79-2e8419a06c9d,4c27c2e5-74d4-444c-8dab-0b1a11603ca2,da31035c-3d60-44ab-aad2-306f95dfef13,BEAR CREEK to Park Place,0,f443e592-3fbe-4611-9f4a-7b01e27d3021
12A,83f00a42-51d3-48a7-9f79-2e8419a06c9d,bfa0321c-4ca9-427c-9f02-61184ca4f25a,039665b2-b02e-459b-8a6f-56438cb103df,GEORGIAN MALL,0,4a392242-954c-4107-bba2-3844905eab51
8A,f4b890df-95f4-4de6-9236-6c2c0e207b96,8d5d37b0-f032-40f5-b598-e02c853788df,62b2935a-e445-492d-a60c-88227fc27d76,RVH/YONGE to Georgian College,0,2f61be0d-95c6-4832-b34a-30e93516b66d
7A,9b8ca608-e9d6-4b70-af36-504135a2886c,f1e9b445-d23c-46ae-a900-18ded1c79251,b19c65d5-d374-4f24-b8e8-322d46dcad68,GROVE to Georgian College,0,cbac11e6-075c-4c41-983a-dcb0f439ab6b
400,83f00a42-51d3-48a7-9f79-2e8419a06c9d,3c005c17-4f54-426e-8a68-8535ea8ba7d0,9526fdb0-cbfa-46de-81b2-3c04b228fd8d,EXPRESS  to Park Place,1,492845f1-a876-4d5a-8127-10ebd3b27eaf
8B,e143ad2f-079a-40bc-9584-bcc38f003c82,38cf70db-9d49-4a91-8f89-30d955c3ee84,395a875b-938b-4204-ab83-0fe41742b4a5,Crosstown/Essa to Georgian College ,0,e61dc65f-9f85-48a8-b792-cfae791fe55e
8B,f4b890df-95f4-4de6-9236-6c2c0e207b96,5dcea25e-4a18-4bb5-889f-52a531b5897a,fecd26a3-f58b-4d94-be09-732399b1341c,Crosstown/Essa to Park Place ,1,c9843545-4366-4185-a458-aa80e219fa30
8A,f7362610-9cc6-4990-b05c-5d3dc36f9f00,16ba6f6e-34fb-416b-89e0-b76c1192e152,62b2935a-e445-492d-a60c-88227fc27d76,RVH/YONGE to Georgian College,0,4c9a4746-c619-4a35-8a28-c58378e93f62
8B,83f00a42-51d3-48a7-9f79-2e8419a06c9d,39762504-fcdd-4f54-be97-ee17c989926c,fecd26a3-f58b-4d94-be09-732399b1341c,Crosstown/Essa to Park Place ,1,64191a47-a045-4449-8f5d-57bd056d27ee
